//map4
#pathX:0,4,4,8,8,13,13,22
#pathY:2,2,9,9,4, 4,11,11
#colors:0xffff00,0x477385,0x1D3AAF,0x17B575,0xaaaaaa
//4 o adfa
//the map:22*14
4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4,4,4,1,0,1,1,1,0,2,2,2,2,0,1,1,1,1,1,1,1,1
4,4,4,1,0,1,3,1,0,1,2,2,1,0,1,1,1,1,1,1,1,1
4,4,4,1,0,1,3,1,0,1,2,2,1,0,1,1,1,1,1,1,1,1
4,4,4,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
4,4,4,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
4,4,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
//end map4

